,Unnamed: 0.1,Unnamed: 0,EcoPortCode,ScientificName,AUTH,FAMNAME,SYNO,COMNAME,LIFO,HABI,LISPA,PHYS,CAT,PLAT,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,PHOPMN,PHOPMX,PHMIN,PHMAX,LATOPMN,LATOPMX,LATMN,LATMX,ALTMX,LIOPMN,LIOPMX,LIMN,LIMX,DEP,DEPR,TEXT,TEXTR,FER,FERR,TOX,TOXR,SAL,SALR,DRA,DRAR,KTMPR,KTMP,PHOTO,CLIZ,ABITOL,ABISUS,INTRI,PROSY,GMIN,GMAX,Genus,Species,Variety,PFAF_URL,USDA_HARDINESS_ZONE,USDA_HARDINESS_ZONE_MIN,USDA_HARDINESS_ZONE_MAX
578,578,578,2684,Acacia pruinocarpa,Tindale,Magnoliopsida:Rosidae:Fabales:Leguminosae,,Black gidgee,"shrub, tree",erect,perennial,"single stem, multi stem","forest/wood, environmental",harvested from wild,22.0,35.0,8.0,43.0,200.0,250.0,125.0,300.0,6.0,7.0,4.5,8.0,19.0,19.0,28.0,28.0,750.0,very bright,very bright,very bright,clear skies,deep (>>150 cm),shallow (20-50 cm),light,"medium, light",low,,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-5.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","desert or arid (Bw), steppe or semiarid (Bs)",drought,,,,60.0,120.0,Acacia,pruinocarpa,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+pruinocarpa,,,
579,579,579,2685,Acacia pycnantha,Benth.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"Golden wattle, Australian Golden Wattle, Pycnantha wattle, Broad-leved wattle, Sickle-leaved wattle, Sickleleaf, South Australian golden wattle, Gouewattel","shrub, tree",erect,perennial,"single stem, multi stem","materials, ornamentals/turf, environmental, weed",,20.0,28.0,5.0,35.0,1000.0,1600.0,600.0,2300.0,6.0,7.0,5.0,7.5,30.0,30.0,38.0,38.0,800.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),medium (50-150 cm),"heavy, medium, light","heavy, medium, light",low,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-2.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",temperate oceanic (Do),,,can become a weed,,90.0,270.0,Acacia,pycnantha,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+pycnantha,7-10,7,10
580,580,580,2692,Acacia rothii,Bailey,Magnoliopsida:Rosidae:Fabales:Leguminosae,,,tree,erect,perennial,single stem,"forest/wood, environmental",harvested from wild,24.0,34.0,15.0,40.0,1400.0,1600.0,1200.0,1700.0,5.0,6.5,4.5,7.0,11.0,11.0,15.0,15.0,800.0,very bright,clear skies,very bright,cloudy skies,shallow (20-50 cm),shallow (20-50 cm),"medium, light","medium, light",low,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),tropical wet & dry (Aw),,,can become a weed,,300.0,365.0,Acacia,rothii,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+rothii,,,
581,581,581,2694,Acacia salicina,Lindl.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"Coobah or swamp wattle, Native Willow, Willow Wattle","shrub, tree",erect,perennial,"evergreen, single stem, multi stem","forage/pasture, forest/wood, environmental",grown on small scale,24.0,30.0,6.0,36.0,400.0,600.0,300.0,700.0,6.0,8.0,5.0,8.5,20.0,19.0,28.0,37.0,2000.0,very bright,cloudy skies,very bright,light shade,deep (>>150 cm),medium (50-150 cm),"heavy, medium","heavy, medium",low,low,,,low (<4 dS/m),high (>10 dS/m)),well (dry spells),well (dry spells),-2.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs)",drought,,,,120.0,240.0,Acacia,salicina,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+salicina,,,
582,582,582,2695,Acacia saligna,(Labill) H.,Magnoliopsida:Rosidae:Fabales:Leguminosae,"Acacia cyanophylla Lindl., Mimosa saligna Labill., Racosperma salignum (Labill.) Pedley","Golden wreath wattle, Orange Wattle, Blue-leaf wattle, Port Jackson wattle, Weeping wattle, Port Jackson willow, Port Jackson acacia, Golden willow, Blue-leaved willow, Port Jackson, Goudwilger, Bloublaarwattel","shrub, tree",erect,perennial,"evergreen, single stem, multi stem","forest/wood, environmental",grown on small scale,20.0,32.0,5.0,36.0,400.0,700.0,300.0,1000.0,5.5,7.0,4.5,8.0,28.0,25.0,33.0,34.0,2600.0,very bright,cloudy skies,very bright,light shade,medium (50-150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",low,low,,,low (<4 dS/m),medium (4-10 dS/m),"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",,,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry winter (Cw)","fire, wind, drought, coastal salt spray",,can become a weed,,120.0,240.0,Acacia,saligna,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+saligna,7-10,7,10
583,583,583,2696,Acacia sclerosperma,F. Muell.,Leguminosae,,Limestone wattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Acacia,sclerosperma,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+sclerosperma,,,
584,584,584,2697,Acacia senegal,(L.) Willd.,Magnoliopsida:Rosidae:Fabales:Leguminosae,"Acacia rupestris Stokes, Acacia senegal (L.) Willd. ssp. senegalensis (Houtt.) Roberty, Acacia trispniosa Stocks ex Boiss., Acacia veruk Guill. et Perr., Acacia volkii Susseng, Mimosa senegal L.","gum arabic, gum acacia, kumut, Sudan gum arabic, three-thorned acacia, Turkey gum, cape gum, acacia du senegal, gommier, Arabicumbaum, Gummibaum, alloba, asharat, hashab, debehi, dakwara, kikwata, goma arábica, umKhala","shrub, tree",erect,perennial,"deciduous, single stem, multi stem","pulses (grain legumes), forage/pasture, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental","grown on small scale, harvested from wild",24.0,32.0,14.0,48.0,300.0,800.0,200.0,2300.0,5.0,7.0,4.5,8.0,11.0,11.0,18.0,18.0,1700.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",low,low,,,low (<4 dS/m),low (<4 dS/m),"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",-4.0,0.0,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs)",,,,,60.0,180.0,Acacia,senegal,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+senegal,10-12,10,12
585,585,585,2698,Acacia seyal,Del.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"Shittim wood, eeoi (Karamojong)","shrub, tree",erect,perennial,"deciduous, single stem, multi stem","forage/pasture, materials, forest/wood, environmental",grown on small scale,24.0,32.0,15.0,45.0,1000.0,1700.0,350.0,2300.0,6.5,7.5,5.0,8.3,,,500.0,2100.0,20.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),heavy,"heavy, medium, light",moderate,low,,,low (<4 dS/m),high (>10 dS/m)),"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs)","fire, drought",,,,150.0,330.0,Acacia,seyal,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+seyal,,,
586,586,586,2699,Acacia shirleyi,Maiden,Magnoliopsida:Rosidae:Fabales:Leguminosae,,,tree,erect,perennial,single stem,"forage/pasture, forest/wood, environmental",harvested from wild,18.0,36.0,10.0,43.0,500.0,650.0,400.0,750.0,4.5,6.5,4.0,7.0,14.0,14.0,28.0,28.0,350.0,very bright,very bright,very bright,clear skies,shallow (20-50 cm),shallow (20-50 cm),light,"medium, light",low,low,,,low (<4 dS/m),low (<4 dS/m),"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs)",,,,,140.0,300.0,Acacia,shirleyi,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+shirleyi,,,
587,587,587,2700,Acacia sieberiana,DC.,Leguminosae,Acacia woodii,Paperbark thorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Acacia,sieberiana,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+sieberiana,,,
588,588,588,2701,Acacia silvestris,Tindale,Magnoliopsida:Rosidae:Fabales:Leguminosae,,,tree,erect,perennial,single stem,"materials, ornamentals/turf, forest/wood, environmental, weed",,15.0,25.0,8.0,33.0,800.0,1000.0,600.0,1100.0,6.0,7.0,5.0,7.5,35.0,35.0,38.0,38.0,1000.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-8.0,-1.0,long day (>14 hours),temperate oceanic (Do),,,can become a weed,,120.0,180.0,Acacia,silvestris,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+silvestris,,,
589,589,589,2702,Acacia simsii,A. Cunn ex B.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,,shrub,erect,perennial,multi stem,"ornamentals/turf, forest/wood, environmental",grown on small scale,22.0,32.0,10.0,40.0,1000.0,1600.0,700.0,1800.0,5.0,6.0,4.5,6.5,3.0,3.0,21.0,21.0,800.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),light,"heavy, medium, light",high,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),tropical wet & dry (Aw),,,can become a weed,,300.0,365.0,Acacia,simsii,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+simsii,,,
590,590,590,2705,Acacia stenophylla,A. Cunn.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"River cooba, Eumong, Native Willow",tree,erect,perennial,single stem,"forage/pasture, fruits & nuts, forest/wood, environmental",harvested from wild,18.0,32.0,5.0,42.0,200.0,600.0,100.0,800.0,7.0,8.0,6.5,8.5,23.0,17.0,33.0,36.0,625.0,very bright,very bright,very bright,clear skies,deep (>>150 cm),deep (>>150 cm),heavy,medium,moderate,low,,,low (<4 dS/m),high (>10 dS/m)),well (dry spells),"poorly (saturated >50% of year), well (dry spells)",-10.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)",,,,,60.0,240.0,Acacia,stenophylla,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+stenophylla,,,
591,591,591,2708,Acacia synchronicia,Maslin,Magnoliopsida:Rosidae:Fabales:Leguminosae,,,shrub,erect,perennial,multi stem,forest/wood,,18.0,28.0,5.0,36.0,300.0,600.0,200.0,700.0,7.0,8.0,6.5,8.5,16.0,16.0,26.0,26.0,500.0,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),"heavy, medium","heavy, medium",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells)",-5.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)",,,,,90.0,210.0,Acacia,synchronicia,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+synchronicia,,,
592,592,592,2710,Acacia tephrina,Pedley,Magnoliopsida:Rosidae:Fabales:Leguminosae,,,tree,erect,perennial,single stem,"forage/pasture, forest/wood, environmental",grown on small scale,22.0,38.0,10.0,43.0,400.0,500.0,250.0,550.0,7.0,8.0,6.5,8.5,18.0,18.0,27.0,27.0,450.0,very bright,very bright,very bright,clear skies,medium (50-150 cm),medium (50-150 cm),"heavy, medium","heavy, medium",moderate,low,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells)",-5.0,-1.0,short day (<12 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs)",,,,,100.0,210.0,Acacia,tephrina,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+tephrina,,,
593,593,593,2711,Acacia tetragonophylla,F. Muell.,Leguminosae,,Dead finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Acacia,tetragonophylla,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+tetragonophylla,,,
594,594,594,2712,Acacia tortilis,(Forsskal) Hayne,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"umbrella thorn, haak-en-steekdoring, haak-en-steek, haakdoring, withaak, basterkameeldoring, sambreeldoring, tafelboom, isiThwethwe, nsasane, moku, musu, umSasane, Schirmakazie, Deweni grar (Amargna), Abak, Akab, Qura, Timad, Behbey (Afargna), Dadach (Borenagna), Lotoba (Oromiffaa), Tedecha (Oromiffaa), Shera (Gamogna), Akiba (Tigrigna), Aqba (Tigrigna), Tsi (Sahogna)",tree,erect,perennial,"semi evergreen, deciduous, single stem","forage/pasture, ornamentals/turf, forest/wood, weed",,28.0,45.0,10.0,50.0,300.0,800.0,100.0,1000.0,6.5,7.5,6.0,8.5,15.0,15.0,30.0,30.0,1000.0,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","medium, light",low,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)",grazing/browsing,,can become a weed,,70.0,180.0,Acacia,tortilis,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+tortilis,,,
595,595,595,2714,Acacia torulosa,Benth.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,Torulosa Wattle,tree,erect,perennial,single stem,"ornamentals/turf, forest/wood, environmental",,22.0,36.0,12.0,43.0,400.0,700.0,300.0,800.0,5.0,7.5,4.5,8.0,11.0,11.0,22.0,22.0,350.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),light,"medium, light",low,low,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),"tropical wet & dry (Aw), steppe or semiarid (Bs)",,,,,120.0,365.0,Acacia,torulosa,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+torulosa,,,
596,596,596,2715,Acacia trachycarpa,E. Prit.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,,"shrub, tree",erect,perennial,"deciduous, multi stem","forest/wood, environmental",harvested from wild,22.0,32.0,8.0,45.0,250.0,350.0,150.0,400.0,7.0,8.0,6.5,8.5,20.0,20.0,24.0,24.0,400.0,very bright,very bright,very bright,clear skies,shallow (20-50 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",low,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-3.0,0.0,short day (<12 hours),"desert or arid (Bw), steppe or semiarid (Bs)",,,,,60.0,150.0,Acacia,trachycarpa,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+trachycarpa,,,
597,597,597,2717,Acacia tumida,F. Muell ex B,Magnoliopsida:Rosidae:Fabales:Leguminosae,,"Pindon wattle, Wongai, Spear wattle","shrub, tree",erect,perennial,"single stem, multi stem","forage/pasture, ornamentals/turf, forest/wood, environmental",grown on small scale,22.0,36.0,12.0,42.0,400.0,1000.0,200.0,1500.0,7.0,8.0,6.5,8.5,11.0,11.0,23.0,23.0,500.0,very bright,clear skies,very bright,cloudy skies,shallow (20-50 cm),shallow (20-50 cm),light,"medium, light",low,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,short day (<12 hours),"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)",,,,,75.0,300.0,Acacia,tumida,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+tumida,,,
598,598,598,2718,Acacia victoriae,Benth.,Magnoliopsida:Rosidae:Fabales:Leguminosae,Acacia sentis,"Bramble wattle, Gundabluey, Elegant wattle","shrub, tree",erect,perennial,"single stem, multi stem","forage/pasture, fruits & nuts, materials, forest/wood, environmental",grown on small scale,12.0,32.0,5.0,38.0,300.0,800.0,100.0,1000.0,6.0,7.5,5.0,8.5,14.0,14.0,36.0,36.0,750.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),shallow (20-50 cm),"heavy, medium, light","heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells)",-10.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",drought,,can become a weed,,60.0,270.0,Acacia,victoriae,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+victoriae,8-11,8,11
599,599,599,2720,Acacia xiphohylla,E. Pritz.,Magnoliopsida:Rosidae:Fabales:Leguminosae,,,shrub,erect,perennial,"deciduous, multi stem","forest/wood, environmental",harvested from wild,24.0,36.0,12.0,45.0,200.0,250.0,150.0,300.0,7.0,8.0,6.5,8.5,23.0,21.0,27.0,29.0,1000.0,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),heavy,"heavy, medium",moderate,low,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),-3.0,0.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","desert or arid (Bw), steppe or semiarid (Bs)",,,,,60.0,120.0,Acacia,xiphohylla,,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+xiphohylla,,,
600,600,600,2735,Acanthosicyos naudinianus,,,,,"herb, vine",prostrate/procumbent/semi-erect,perennial,multi stem,fruits & nuts,,15.0,30.0,12.0,32.0,150.0,500.0,100.0,700.0,6.0,6.5,5.5,7.0,12.0,10.0,32.0,34.0,1350.0,clear skies,very bright,clear skies,very bright,medium (50-150 cm),deep (>>150 cm),light,light,low,low,,,medium (4-10 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),,,,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)",,,,,0.0,0.0,Acanthosicyos,naudinianus,,https://pfaf.org/user/Plant.aspx?LatinName=Acanthosicyos+naudinianus,,,
601,601,601,2736,Acanthus ilicifolius,L.,Magnoliopsida:Asteridae:Scrophulariales:Acanthaceae,,mangrove,"herb, shrub",erect,perennial,"multi stem, C3 photosynthesis",,,18.0,26.0,15.0,32.0,1500.0,2500.0,1000.0,3000.0,6.8,7.2,6.5,7.5,,,,,,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),heavy,"heavy, medium",high,moderate,,,medium (4-10 dS/m),high (>10 dS/m)),poorly (saturated >50% of year),poorly (saturated >50% of year),,,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar)",flooding,,can become a weed,,365.0,365.0,Acanthus,ilicifolius,,https://pfaf.org/user/Plant.aspx?LatinName=Acanthus+ilicifolius,,,
602,602,602,2737,Acanthus mollis,L.,Magnoliopsida:Asteridae:Scrophulariales:Acanthaceae,Acanthus sativus Dod.,acanthus,herb,erect,perennial,,"ornamentals/turf, medicinals & aromatic",grown on small scale,15.0,30.0,10.0,38.0,500.0,800.0,400.0,1000.0,5.0,7.0,5.5,6.5,30.0,30.0,52.0,52.0,2000.0,light shade,cloudy skies,light shade,very bright,medium (50-150 cm),shallow (20-50 cm),medium,"medium, light",high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",,,,home garden,0.0,0.0,Acanthus,mollis,,https://pfaf.org/user/Plant.aspx?LatinName=Acanthus+mollis,Coming soon,,
603,603,603,2741,Acca sellowiana,(Berg) Burret,Magnoliopsida:Rosidae:Myrtales:Myrtaceae,"Feijoa sellowiana Berg., Orthostemon sellowianus (O.Berg.)","pineapple guava, feijoo, féijoa, guayaba, guayabo del país, guayaba chilena, guayaba del país, guayaba sumina, goiaba-feijoa, goiaba serrana, goiabeira serrana, araçá do Rio Grande, goiaba do campo, goiaba silvestre, Brasilianische guave","shrub, tree",erect,perennial,"evergreen, single stem, multi stem","fruits & nuts, ornamentals/turf",grown on small scale,18.0,21.0,12.0,28.0,750.0,1500.0,600.0,2000.0,5.5,7.0,4.5,8.0,12.0,10.0,50.0,52.0,1000.0,clear skies,very bright,cloudy skies,very bright,medium (50-150 cm),medium (50-150 cm),"medium, organic","heavy, medium, light, wide, organic",moderate,moderate,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),-10.0,-1.0,,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do)","wind, drought, salt winds",,,home garden,0.0,0.0,Acca,sellowiana,,https://pfaf.org/user/Plant.aspx?LatinName=Acca+sellowiana,8-11,8,11
604,604,604,2742,Acehmea magdalenae,Andre,,,,shrub,erect,perennial,"evergreen, multi stem",materials,grown on small scale,24.0,30.0,12.0,36.0,900.0,1300.0,700.0,1500.0,5.5,6.5,5.0,7.0,,,15.0,15.0,900.0,very bright,light shade,very bright,light shade,medium (50-150 cm),shallow (20-50 cm),"light, organic","medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),,,short day (<12 hours),"tropical wet & dry (Aw), tropical wet (Ar)",,,,,210.0,330.0,Acehmea,magdalenae,,https://pfaf.org/user/Plant.aspx?LatinName=Acehmea+magdalenae,,,
605,605,605,2743,Acer caesium,Wall.,Magnoliopsida:Rosidae:Sapindales:Aceraceae,,"Indian maple, bordo da India",tree,erect,perennial,"deciduous, single stem",forest/wood,,15.0,21.0,7.0,30.0,1000.0,1800.0,660.0,2150.0,4.5,5.5,4.0,6.5,20.0,20.0,50.0,50.0,3000.0,very bright,clear skies,very bright,light shade,deep (>>150 cm),medium (50-150 cm),medium,"heavy, medium, light",high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)",-5.0,0.0,short day (<12 hours),"tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",,,,,210.0,270.0,Acer,caesium,,https://pfaf.org/user/Plant.aspx?LatinName=Acer+caesium,5-9,5,9
606,606,606,2744,Acer campestre,L.,Magnoliopsida:Rosidae:Sapindales:Aceraceae,Acer campestris L.,"field maple, hedge maple, small hedge maple, small maple, English maple, mazer tree, ulmer pipes, erable champetre, Ahorn, acero campestre, bordo comum, arce","shrub, tree",erect,perennial,"deciduous, single stem, multi stem","medicinals & aromatic, forest/wood","grown on small scale, harvested from wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"temperate oceanic (Do), temperate continental (Dc)",,,,home garden,0.0,0.0,Acer,campestre,,https://pfaf.org/user/Plant.aspx?LatinName=Acer+campestre,4-8,4,8
607,607,607,2756,Acer saccharum,Forsk.,Magnoliopsida:Rosidae:Sapindales:Aceraceae,,"sugar maple, sugarwood, rock maple, hard maple, bird's-eye maple, erable a sucre, bordo do Canada', bordo sacarino",tree,erect,perennial,"deciduous, single stem",forest/wood,,14.0,24.0,4.0,28.0,700.0,1300.0,500.0,1500.0,6.0,6.5,5.3,7.3,,,,,1600.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),medium,medium,moderate,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-18.0,-1.0,long day (>14 hours),"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), boreal (E)",,,,,130.0,240.0,Acer,saccharum,,https://pfaf.org/user/Plant.aspx?LatinName=Acer+saccharum,4-8,4,8
608,608,608,2761,Achillea fragrantissima,(Forssk.) Sch. Bip.,Magnoliopsida:Asteridae:Asterales:Compositae,Santolina fragrantissima Forssk.,"lavender cotton, garde robe, aurone femelle, santoline, Zypressengarbe, guarda roba, qaysum, baatharaan, bu'aythiran, gesoom",herb,erect,,,medicinals & aromatic,harvested from wild,,,,,,,,,7.0,8.0,6.5,8.5,10.0,10.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Achillea,fragrantissima,,https://pfaf.org/user/Plant.aspx?LatinName=Achillea+fragrantissima,,,
609,609,609,2762,Achillea millefolium,L.,Magnoliopsida:Asteridae:Asterales:Compositae,,"schafgarbe, millefeuille, yarrow, thousand-leaf, milfoil, Flores Millefolii, Herba Millefolii, Folia Millefolii",herb,erect,perennial,multi stem,medicinals & aromatic,grown on small scale,,,,,,,,,,,,,,,,,2000.0,,,,,,,wide,wide,,,,,,,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",,,,"subtropical dry summer (Cs), temperate oceanic (Do)",,,,,0.0,0.0,Achillea,millefolium,,https://pfaf.org/user/Plant.aspx?LatinName=Achillea+millefolium,4-8,4,8
610,610,610,2763,Achillea millefolium ssp. millefolium,L.,Magnoliopsida:Asteridae:Asterales:Compositae,,,herb,erect,perennial,,medicinals & aromatic,,,,,,,,,,,,,,,,,,2000.0,,,,,,,"medium, light","heavy, medium, light",,,,,,,well (dry spells),well (dry spells),,,,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",,,,,0.0,0.0,Achillea,millefolium,,https://pfaf.org/user/Plant.aspx?LatinName=Achillea+millefolium,4-8,4,8
611,611,611,2766,Achnatherum splendens,(Tr.),,,,grass,erect,perennial,multi stem,forage/pasture,,8.0,15.0,3.0,20.0,300.0,400.0,200.0,500.0,7.0,8.0,6.5,8.5,25.0,25.0,50.0,50.0,4000.0,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light, organic",high,low,,,low (<4 dS/m),high (>10 dS/m)),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",-20.0,-5.0,long day (>14 hours),"desert or arid (Bw), steppe or semiarid (Bs), temperate continental (Dc)",flooding,,,,75.0,150.0,Achnatherum,splendens,,https://pfaf.org/user/Plant.aspx?LatinName=Achnatherum+splendens,6-9,6,9
612,612,612,2770,Acmena smithii,(Poiret) Me.,Magnoliopsida:Rosidae:Myrtales:Myrtaceae,,,tree,erect,perennial,single stem,"forest/wood, environmental",,18.0,28.0,8.0,36.0,1000.0,1700.0,700.0,2000.0,5.0,6.0,4.5,6.5,11.0,11.0,39.0,39.0,1200.0,very bright,clear skies,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),"heavy, medium, light","heavy, medium, light",moderate,,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),-5.0,-1.0,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","subtropical humid (Cf), temperate oceanic (Do)",,,,,150.0,240.0,Acmena,smithii,,https://pfaf.org/user/Plant.aspx?LatinName=Acmena+smithii,,,
